Representative,Date,Stars,Text,Platform
Taier Levy,2025-05-30,5,"Timur Khan
Local Guide · 285 reviews · 22 photos






6 days ago
NEW
I would like to leave an honest review.
I Worked with Taier Levy she was super knowledgeable, and always followed through. … More

Like

Share",Google
Taier Levy,2025-05-30,5,"gucci bags
3 reviews






6 days ago
NEW
This was my first time working with a broker, and I couldn’t be happier. I worked with Taier Levy and she was honest, & responsive

Like

Share",Google
Taier Levy,2025-05-30,5,"Arielle Sharafi
6 reviews






6 days ago
NEW
I worked with Taier Levy and she kept me updated every step of the way and made sure I understood all of my options.

Like

Share",Google
Taier Levy,2025-05-30,5,"LEEOR KHALIFEH
7 reviews






6 days ago
NEW
I worked with taier levy couldn’t have asked for better service !!

Like

Share",Google
Taier Levy,2025-05-30,5,"Adi Iyssu
8 reviews






6 days ago
NEW
I’ve dealt with banks before, but this was a totally different (and better) experience. My broker was Taier Levy she was friendly, professional, and got things done fast. Would definitely use her again

Like

Share",Google
Taier Levy,2025-05-30,5,"timeless threads
1 review






6 days ago
NEW
I worked with Taier Levy she was patient, & professional,

Like

Share",Google
Taier Levy,2025-05-30,5,"Charlie Miller
1 review






6 days ago
NEW
Taier Levy was my broker she really went the extra mile to get things done quickly and smoothly. Will definitely work with her again!

Like

Share",Google
Taier Levy,2025-05-30,5,"leedor kraiem
4 reviews · 1 photo






6 days ago
NEW
I worked with Taier Levy, she genuinely cared about getting me the best deal. Easy process very happy

Like

Share",Google
Taier Levy,2025-05-30,5,"Levana Kroub
7 reviews · 2 photos






6 days ago
NEW
I worked with Taier Levy she was knowledgeable, and really listened to what I needed, she made the process simple and stress-free.

Like

Share",Google
Taier Levy,2025-05-30,5,"Coral Sharabi
12 reviews






6 days ago
NEW
Working with Taier Levy was a great experience. She helped with making the funding process simple and easy to understand. Everything was handled very smoothly. She was very knowledgeable, incredibly kind, and willing to help with any questions I had!

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Katy Parker
9 reviews






a week ago
NEW
Jessica Btesh was clutch in getting the job done. She streamlined all of my needs and answered my questions with confidence. Her ‘can do’ spirit made my experience worthwhile and guided me towards a solution that met all of our needs. I have been telling my colleagues to check her out! Thanks again for a great experience Jessica!

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Luis Delgado
4 reviews






a week ago
NEW
I came to Jessica Btesh after being denied by three other sources. Within days, I not only had multiple offers, but I understood exactly what my options were. She secured capital when no one else could — and saved me thousands in the process. Thank you Jessica!

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Efe TUNCEL
9 reviews · 1 photo






a week ago
NEW
Jessica Btesh and Jonah Harris made the SBA process smooth and transparent. What felt overwhelming at first became a real opportunity with her guidance. She didn’t just get me funding, she helped position my business to scale the right way. Recommend working with this team.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Jennifer Dooley
Local Guide · 26 reviews · 13 photos






a week ago
NEW
Working with Jessica Btesh was the first time I felt like someone actually understood my business, not just my credit score. She didn’t waste time or talk in circles. She built a path I could move on and I’m already seeing ROI. Definitely recommend.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Amanda Gaddie
4 reviews






a week ago
NEW
Working with Jessica Btesh felt less like working with a broker and more like having a business strategist on my side. She didn’t just find me funding—she mapped out how to leverage it for long-term growth.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"joanna niiholm
1 review






a week ago
NEW
I was skeptical. I’d worked with brokers before who overpromised and underdelivered. Jessica Btesh proved to me that there’s a better way. She’s sharp, responsive, and actually cares about outcomes. I trust her completely now.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Ariel Snir
6 reviews






a week ago
NEW
What I appreciated most about Jessica Btesh was her directness. No sugarcoating, no gimmicks. Just a clear assessment, real solutions, and follow-through. She actually cares about building something sustainable.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Sarah Mira
6 reviews






a week ago
NEW
We’ve dealt with brokers before. None like Jessica Btesh. She’s sharp, direct, and seems to always think a few moves ahead. Thank you for being smart, responsive, and outcome-focused.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Or Isovich
2 reviews






a week ago
NEW
Jessica Btesh isn’t just a funding rep — she’s a partner. From the first call, she was focused on building something sustainable for my business. She was also great at simplifying the more technical parts. That team is the real deal.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"kinnereth Malyankar
4 reviews






a week ago
NEW
No pressure, no fluff — just real help. Jessica Btesh respected my pace and still made sure I had every detail to move forward. I never felt like just another client. That personal touch is what sets her apart.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Rachel Hammer
8 reviews






a week ago
NEW
Working with Jessica Btesh has been one of the smartest decisions I’ve made for my business. She didn’t just help secure funding — she created a roadmap. Jessica genuinely cares about the long-term success of her clients and provides real strategy, not just capital. Highly recommend.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Shamira Massil
3 reviews · 5 photos






a week ago
NEW
Everything Jessica Btesh promised, she delivered. No runaround, no wasted time — just honest, direct service. The funding was fast, and she even followed up afterward to make sure we were still on track. That’s rare in this space.

Like

Share",Google
Jeremy Chiprin,2025-05-29,5,"Rylee Harrington
2 reviews






a week ago
NEW
Jeremy Chiprin was super helpful and made the loan process way easier than I expected. He’s easy to talk to, really knowledgeable, and explained everything clearly. I felt like I could trust him right away, which made a big difference. I’d definitely recommend him to anyone looking for loan help.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"JIMMY WHITE
10 reviews






a week ago
NEW
I can't say enough about Jessica B.  She has been my go to every since I contacted Premium.  She is the best and puts her customers first over making money. She has at times made me face some hard realities but stood by me.  Thanks to my favorite

Like

Share",Google
Jessica Btesh,2025-05-29,5,"James Turner
Local Guide · 27 reviews






a week ago
NEW
Great advise. A young lady Jessica Btesh answered all my questions with clear understanding.

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Matan Hadari
Local Guide · 36 reviews · 10 photos






a week ago
NEW
Jessica Btesh was great to work with. She answered all my questions and got me exactly what I needed for my business. Would definitely work with her more in the future!!

Like

Share",Google
Jessica Btesh,2025-05-29,5,"Tal Tal-El
10 reviews · 1 photo






a week ago
NEW
Jessica Btesh was incredibly helpful! She answered all my questions with patience and care. After dealing with other unhelpful reps, her positive attitude was a breath of fresh air. Thank you for making the process so easy!

Like

Share",Google
Jeremy Chiprin,2025-05-29,5,"Sara Shamy
5 reviews






a week ago
NEW
Jeremy Chiprin was extremely helpful!

Like

Share",Google
Gavriel Ellis,2025-05-29,5,"Shayna Signer
1 review






a week ago
NEW
Gavriel Ellis was great to talk to helpful, creative, and answered all my questions. The company works fast. Highly recommend!

Like

Share",Google
Jeremy Chiprin,2025-05-29,5,"Janine Chaux
3 reviews






a week ago
NEW
I had a very pleasant experience with the help of Jeremy Chiprin. He quickly returned my calls, answered my questions and assisted me in clarifying my choices. First time customer, but will definitely return and I highly recommend. 2 👍 …

Like

Share",Google
Clyde Wethers,2025-05-29,5,"Steve Lopez
6 reviews






a week ago
NEW
It was a pleasure working with Kevin Moreno and Clyde Wethers. They have explained the process and addressed any of my concerns. I’ll recommend working with them. Thanks again, fellas!

Like

Share",Google
Anthony Andrade,2025-05-29,5,"Mylynda Ortiz
1 review






a week ago
NEW
Anthony Andradeand Clyde Wethers made closing on the SBA 7(a) easy and effortless. I would recommend anyone looking for a 7(a) to go through them. They are truly very professional and my go-to when funding is needed.

Like

Share",Google
Anthony Andrade,2025-05-29,5,"Rosa Morales
1 review






a week ago
NEW
Anthony Andrade went above and beyond working with me to get everything done and over the finish line. Very easy to work with and is very professional.

Like

Share",Google
Michael Lieber,2025-05-29,1,"Michael Grant
5 reviews






a week ago
NEW
Terrible business experience. Worked with Michael Lieber on a loan as well as a consolidation. I was already in works on another deal and they assured me they can get the deal they were offering done. We rushed to make business account … More

Like

Share",Google
Jeremy Chiprin,2025-05-22,5,"Roch Strange
1 review






2 weeks ago
NEW
It was a pleasure talking to Jeremy Chiprin. He was very helpful in addressing my needs and concerns. I will recommend him and premium merchant funding to all my colleagues

Like

Share",Google
Jeremy Chiprin,2025-05-22,5,"Oran Vale
1 review






2 weeks ago
NEW
Jeremy Chipring is very good person to work with. He help me so much and always answer all my question fast. The process was easy and not stress. He understand my business and gave me the best option. I really thank him and recommend to other people who need help.

Like

Share",Google
Jeremy Chiprin,2025-05-22,5,"L. Moor
2 reviews






2 weeks ago
NEW
Jeremy Chiprin was a pleasure to work with. He made the funding process quick, smooth, and stress-free. He really took the time to understand my business and offered solutions that made sense. I felt supported every step of the way. Highly recommend working with him

Like

Share",Google
Jeremy Chiprin,2025-05-22,5,"Luke McCarthy
2 reviews






2 weeks ago
NEW
I highly recommend working with Jeremy Chiprin. I came in with a million questions and he answered each one patiently, professionally, and with genuine care. After speaking with several other companies and encountering many unhelpful reps, … More

Like

Share",Google
Jeremy Chiprin,2025-05-08,5,"Nathan Clark
1 review






4 weeks ago
Small business owner. Received excellent customer service from Jeremy Chiprin. He was very helpful in explaining options to raise money for our business.  Thank you Jeremy!

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Tyler Beer
1 review






a month ago
Jeremy Chiprin from Premium Merchant Funding was one of the most caring representatives I’ve spoken with. He helped me figure out the next steps with my loan. Thanks!

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Stephanie Harrington
2 reviews






a month ago
Jeremy Chiprin was a pleasure to work with.  He was patient, knowledgeable and easy to work with. I would recommend him for any of your financial needs.

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Geneviève Palacio
1 review






a month ago
Wow, thank you so much, Jeremy Chiprin, for your assistance! You’re a very intelligent person who took the time to thoroughly understand my personal needs. I would highly recommend working with him to everyone!

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Dan Gense
1 review






a month ago
Had a great experience working with Jeremy Chiprin. Consummate professional who was extremely helpful and very responsive to all my questions.

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"David Palacio
1 review






a month ago
It was such a pleasure to receive help from Jeremy Chiprin. He was very charismatic, well-prepared, and ready to guide me through everything I needed.

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Kian Blume
2 reviews






a month ago
Jeremy Chiprin was very efficient, patient and determined to find out everything I needed. I found this to be a great experience.

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Jerry Rosier
1 review






a month ago
In my business, recent events have made inventory decisions more challenging.  I called Premium Merchant Funding to help.  Jeremy Chiprin was able to provide several interim solutions for me.  He quickly answered my questions and reduced my anxiety.   I highly recommend you call if in need of a temporary cash infusion.

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Rick Sharp
3 reviews · 3 photos






a month ago
Jeremy Chiprins was personable and helpful. Would recommend.

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Jeff Robbins
5 reviews






a month ago
It’s been great working with Jeremy Chiprin. He takes the time to understand my situation, asked good questions and  responded quickly with various solutions.  Jeremy made a complicated situation very easy to understand. I highly recommend working with him.

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Andy Babb
2 reviews






a month ago
Jeremy Chiprin has really done great for me. He asked good questions to understand my needs, and he came back pretty quickly with several options.  I was worried that this was going to be complex but Jeremy made it quite simple. I would highly recommend working with him.

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"rickyloo100
7 reviews






a month ago
I was helped and guided by Jeremy Chiprin. He made me aware of so many things and I am deeply grateful!

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Keli Brereton
4 reviews






a month ago
Jeremy Chiprin is highly professional, patient and extremely knowledgeable. A rare and perfect combination of wisdom and kindness! 5 stars ++

Like

Share",Google
Jeremy Chiprin,2025-05-06,5,"Nicole Chaux
6 reviews






a month ago
Loved the service I received here! Jeremy Chiprin was my rep and he was extremely knowledgeable and helpful through the entire process!

Like

Share",Google
Israel Lallouz,2025-05-06,5,"Israel lallouz
3 reviews






a month ago",Google
Sam Nathan Levy,2025-05-06,5,"Vanessa Scalavino
3 reviews






a month ago
Working with Sam Nathan Levy has been a great experience! He has been honest and transparent through the entire process and a pleasure to work with. He gave me several options of different types and explains the pros and cons and cost … More

Like

Share",Google
Riley Middendorf,"May 27, 2025",5,"I have been working with PMF and Jonathan, Riley and Clyde for over a year and trully value their assistance and customer service. They have done an outstanding job for us and these guys are hands down excellent. Date of experience: May 01, 2025",Trustpilot
Riley Middendorf,"May 22, 2025",5,"I worked with Riley and he made this SBA loan process easy and seamless. I would absolutely refer other business owners! Date of experience: May 01, 2025",Trustpilot
Christopher Moore,"Nov 13, 2024",5,"I am a Doctor who operates 6 different practices and alway have use for additional capital. I was referred to Christopher Moore at Premium Merchant Funding by a long time friend. Christopher made the process to secure additional capital very easy and wired me $1.2 Million with in 48 hours. I'm still very grateful for his help & I recommend if you need financial results give him a shot. Email him at cmoore(at)pmfus.com and give him a shot. Hope this helped everyone who's looking into additional capital. Date of experience: September 03, 2024",Trustpilot
Riley Middendorf,"Nov 8, 2024",5,"I have been working with Riley and he is the best!! I would reccomend working with him anytime!! Date of experience: November 08, 2024",Trustpilot
Joseph Heres,"Feb 10, 2024",1,"Our small business had a cash-flow issue. I was contacted by Joseph Heres at PMF, he offered a solution that included a short-term cash influx via MCA, which came with high daily payments. This, he assured me, would be then paid off with a longer-term loan that would consolidate all our debt into on affordable monthly payment. I moved forward on this solution. Turned out, he couldn't (or didn't try to) get the longer-term consolidation loan for me, so now I'm stuck with high daily payments on a very expensive MCA. He completely screwed our little company and will no longer respond to my attempts to reach him. Date of experience: February 01, 2024",Trustpilot
Marcus Hoffman,"Mar 31, 2021",5,"Review of Marcus Hoffman

Very Responsive: From the 1st call back in July 2020 to Current. He gets back to me immediately and is successful at his task and loans.
Thorough: Seems to ask all the right questions to get project (loan) done in record time.
Experienced
Professional each time I call or text, I get a response immediately.
Educated
Gets things done!

Back in July 2020, Marcus reached out to me along with 20 others who call every day. Marcus promised the world and delivered. I was able to receive a MCA Loan and EIDL Loan on our First Round. He later helped repair my Credit which opened up more loan options including a PPP.

This Guy is Amazing! My one and Only Loan Guy!

Sincerely,
Michael G. Moxley Date of experience: April 01, 2021",Trustpilot
